Sample	Complete	Total_assembly_length	Number_of_contigs	Most_accurate_polishing_round	Longest_contig_length	Longest_contig_coverage	Number_circular_plasmids
44x	True	2950795	11	pre_polish	2919542	93	0
40x	True	2997394	21	pre_polish	2919542	93	0
48x	True	2961521	16	pre_polish	2919542	93	0
47x	True	3044672	24	pypolca	2919549	93	0
4x	True	2919542	1	pre_polish	2919542	93	0
14x	True	2921463	2	pypolca	2919547	93	0
25x	True	2919549	1	pypolca	2919549	93	0
9x	True	2920516	2	pre_polish	2919542	93	0
28x	True	2936162	9	pypolca	2919549	90	0
42x	True	2979993	16	pre_polish	2919542	93	0
34x	True	2935880	8	pre_polish	2919542	93	0
13x	True	2919542	1	pre_polish	2919542	93	0
30x	True	2924315	4	pre_polish	2919542	93	0
18x	True	2923887	5	pre_polish	2919542	93	0
38x	True	2954037	11	pypolca	2919549	90	0
43x	True	3024947	20	pre_polish	2919542	93	0
8x	True	2919544	1	pypolca	2919544	93	0
17x	True	2919546	1	pypolca	2919546	93	0
10x	True	2919542	1	pre_polish	2919542	93	0
16x	True	2919542	1	pre_polish	2919542	93	0
41x	True	2950511	16	pre_polish	2919542	93	0
33x	True	2943439	11	pre_polish	2919542	93	0
32x	True	2931771	8	pre_polish	2919542	93	0
15x	True	2921316	2	pypolca	2919549	93	0
35x	True	2941985	5	pre_polish	2919542	93	0
23x	True	2923884	6	pre_polish	2919542	93	0
36x	True	2949666	10	pypolca	2919548	90	0
7x	True	2919543	1	pre_polish	2919543	90	0
12x	True	2920501	2	pypolca	2919545	93	0
20x	True	2926341	4	pre_polish	2919542	93	0
21x	True	2925302	5	pre_polish	2919542	93	0
49x	True	3012602	22	pre_polish	2919542	93	0
22x	True	2928858	6	pre_polish	2919543	90	0
46x	True	3000576	19	pre_polish	2919542	93	0
11x	True	2919544	1	pypolca	2919544	93	0
1x	True	2919543	1	pypolca	2919543	90	0
19x	True	2920188	2	pypolca	2919548	93	0
5x	True	2919542	1	pypolca	2919542	90	0
6x	True	2919542	1	pre_polish	2919542	93	0
2x	True	2919542	1	pre_polish	2919542	93	0
3x	True	2919542	1	pypolca	2919542	93	0
39x	True	2948641	13	pre_polish	2919542	93	0
24x	True	2930693	7	pypolca	2919549	93	0
45x	True	2961991	15	pre_polish	2919542	93	0
26x	True	2929235	6	pypolca	2919549	93	0
50x	True	3002079	25	pre_polish	2919543	90	0
37x	True	2948268	14	pre_polish	2919542	93	0
31x	True	2924773	5	pre_polish	2919542	93	0
29x	True	2930380	6	pypolca	2919549	93	0
27x	True	2952455	10	pre_polish	2919542	93	0
